Keuwl Accelerometer Data File,,,,,,
2025-05-07 18:45:26,,,,,,
,,,,,,
Time (s),X (m/s2),Y (m/s2),Z (m/s2),R (m/s2),Theta (deg),Phi (deg)
0.333313,4.14586,2.855983,8.842984,10.175616,29.653107,34.562023
0.335938,4.299088,2.511218,8.517672,9.866058,30.307354,30.2904
0.338562,4.624401,2.032677,8.708909,10.067867,30.114979,23.728117
0.341187,4.777629,1.879748,8.938752,10.308272,29.871618,21.477045
0.343811,4.949713,1.726519,9.187449,10.577795,29.708275,19.22938
0.346436,5.045481,1.78398,9.455601,10.864983,29.508554,19.472561
0.34906,4.83509,2.070984,9.283217,10.669827,29.536263,23.186605
0.351685,4.643554,2.339135,9.091681,10.473433,29.76478,26.736137
0.354309,4.318242,2.741062,8.938752,10.298636,29.778151,32.40588
0.356934,3.973776,3.238756,8.670602,10.072724,30.593464,39.181149
0.359558,3.935469,3.334524,8.574833,10.006734,31.02903,40.274616
0.362183,4.050091,3.066374,8.421904,9.835361,31.097666,37.12981
0.364807,4.184167,2.83683,8.441057,9.83902,30.916557,34.136936
0.367432,4.471471,2.358289,8.498518,9.888396,30.745846,27.807514
0.370056,4.758476,2.070984,8.728063,10.154366,30.735256,23.519644
0.372681,4.758476,2.166753,8.708909,10.157904,30.97934,24.481955
0.375305,4.777629,2.262521,8.708909,10.18773,31.25761,25.340622
0.37793,4.528633,2.760215,8.613141,10.115013,31.622568,31.362434
0.380554,4.433164,2.894291,8.632295,10.126518,31.521452,33.139416
0.383179,4.318242,3.028067,8.670602,10.148682,31.311176,35.039165
0.385803,4.203321,3.142988,8.517672,10.004849,31.640722,36.786911
0.388428,4.107553,3.142988,8.19206,9.688148,32.266357,37.422241
0.391052,4.126706,3.028067,8.039131,9.530295,32.484764,36.270226
0.393677,4.41401,2.530372,8.115446,9.578451,32.085026,29.823889
0.396302,4.605247,2.339135,8.345289,9.814465,31.755133,26.927301
0.398926,4.949713,1.956362,8.785523,10.271925,31.207685,21.56629
0.401551,4.98802,2.032677,8.900445,10.403367,31.181107,22.171476
0.404175,4.796783,2.262521,8.747216,10.229464,31.229193,25.25206
0.4068,4.605247,2.472911,8.574833,10.042478,31.366385,28.23477
0.409424,4.069245,3.142988,8.249521,9.720686,31.934179,37.681648
0.412049,4.012084,3.296217,8.249521,9.747639,32.187466,39.405582
0.414673,3.954623,3.449147,8.268675,9.793194,32.399918,41.094318
0.417298,4.030938,3.296217,8.1346,9.658427,32.623837,39.273884
0.419922,4.184167,2.894291,7.905056,9.400749,32.76511,34.672558
0.422547,4.279935,2.664447,7.828441,9.31137,32.781654,31.904076
0.425171,4.586093,2.281674,8.039131,9.532362,32.504269,26.451273
0.427796,4.605247,2.339135,8.172907,9.668312,32.292774,26.927301
0.43042,4.643554,2.434903,8.441057,9.936941,31.846762,27.670807
0.433045,4.394856,2.779369,8.421904,9.897884,31.692575,32.309834
0.435669,4.260781,2.894291,8.421904,9.872165,31.449984,34.187733
0.438294,4.14586,3.028067,8.40275,9.847007,31.424232,36.143768
0.440918,3.839701,3.353678,8.326136,9.762939,31.479086,41.134666
0.443543,3.878008,3.277064,8.306982,9.735709,31.433197,40.199074
0.446167,3.897162,3.200449,8.287828,9.701487,31.319231,39.393719
0.448792,4.222474,2.702754,8.345289,9.7354,30.995173,32.622814
0.451416,4.758476,1.956362,8.574833,9.99991,30.963976,22.349136
0.454041,5.007174,1.726519,8.747216,10.225774,31.195082,19.024656
0.456665,5.102942,1.688211,8.900445,10.397499,31.12763,18.305819
0.45929,4.949713,1.879748,8.823831,10.290437,30.965336,20.795227
0.461914,4.624401,2.243367,8.651448,10.063067,30.714527,25.878727
0.464539,4.279935,2.721908,8.517672,9.913493,30.773142,32.455116
0.467163,4.184167,2.894291,8.517672,9.921436,30.85009,34.672558
0.469788,4.088398,3.066374,8.517672,9.933196,30.963465,36.870571
0.472412,3.99293,3.162142,8.40275,9.825927,31.222466,38.376942
0.475037,4.107553,2.951452,8.326136,9.742053,31.277889,35.698864
0.477661,4.203321,2.741062,8.230368,9.639516,31.370886,33.1091
0.480286,4.586093,2.300828,8.40275,9.845419,31.409103,26.642767
0.48291,5.007174,1.84144,8.708909,10.213119,31.491478,20.191526
0.485535,5.064634,1.822287,8.862138,10.368642,31.272757,19.789045
0.488159,4.873397,2.090138,8.862138,10.327447,30.894402,23.213879
0.490784,4.739322,2.243367,8.804677,10.247742,30.775118,25.330622
0.493408,4.471471,2.568679,8.651448,10.071729,30.797363,29.875626
0.496033,4.222474,2.855983,8.536825,9.943003,30.842909,34.073505
0.498657,4.222474,2.817676,8.555679,9.948277,30.681602,33.715363
0.501282,4.203321,2.779369,8.555679,9.929373,30.497244,33.473942
0.503906,4.490325,2.281674,8.613141,9.977737,30.318127,26.936543
0.506531,4.720169,2.032677,8.689755,10.095722,30.600637,23.298479
0.509156,4.930859,1.78398,8.76637,10.21495,30.886013,19.890072
0.51178,5.083788,1.649904,8.919599,10.398381,30.930964,17.98044
