MOTOR 1,,,,,,,
,,,,,,,
Condition,Time (s),X (m/s2),Y (m/s2),Z (m/s2),R (m/s2),Theta (deg),Phi (deg)
,0.2082749,-0.352941,-2.041676,9.304491,9.532395,12.553989,260.192291
,0.2104221,-0.678365,-2.300101,8.892925,9.210579,15.091317,253.567719
,0.2125693,-0.515653,-2.448456,8.706285,9.058711,16.034533,258.107117
,0.2147164,-0.482154,-2.194817,8.88814,9.167809,14.188524,257.610168
,0.2168636,-0.362513,-2.395814,9.093923,9.411204,14.919872,261.395782
,0.2190108,-0.175872,-2.515455,9.438489,9.76952,14.957853,266.00058
,0.2211579,-0.841077,-1.74018,9.457631,9.653105,11.550056,244.204239
,0.2233051,-0.855434,-2.161317,9.424132,9.706561,13.855364,248.406693
,0.2254522,-0.510868,-1.955534,10.089336,10.289791,11.327921,255.359146
,0.2275994,-0.429512,-1.658824,9.634701,9.78589,10.084594,255.483475
,0.2297466,-0.850648,-1.529612,9.601201,9.759425,10.331197,240.92067
,0.2318937,-0.687936,-1.692324,10.122836,10.286351,10.229701,247.878052
,0.2340409,-0.683151,-1.051047,9.984053,10.06244,7.156343,236.97728
,0.2361881,-0.271585,-0.99362,10.237692,10.289381,5.745456,254.712784
,0.2383352,-0.448654,-1.232902,10.721042,10.801022,6.976933,250.003494
,0.2404824,-0.577867,-0.596411,10.596615,10.629106,4.481045,225.904755
,0.2426296,-0.573081,-0.108275,10.328619,10.345073,3.231921,190.699081
,0.2447767,-0.309871,-0.811765,10.505688,10.541558,4.727996,249.106918
,0.2469239,-0.735793,-0.452842,10.677971,10.712868,4.625884,211.610107
,0.249071,-0.707079,-0.165703,10.40519,10.430503,3.992529,193.189178
,0.2512182,-0.429512,-0.419342,10.228121,10.24572,3.358704,224.313614
,0.2533654,-0.587438,-1.127618,10.122836,10.202374,7.159057,242.482513
,0.2555125,-0.75015,-1.261616,9.883554,9.991948,8.447153,239.264511
,0.2576597,-0.2668,-1.118046,10.084551,10.149846,6.502522,256.578491
,0.2598069,-0.501296,-1.634896,9.653843,9.804125,10.044827,252.953262
,0.2619541,-0.577867,-2.056033,9.127422,9.373956,13.169539,254.301498
,0.2641012,-0.635294,-2.089532,9.060423,9.319925,13.552363,253.088806
,0.2662484,-0.132802,-2.079961,9.069994,9.306377,12.941346,266.346741
,0.2683955,-0.788435,-2.276173,9.089137,9.402925,14.843625,250.894608
,0.2705427,-0.53001,-2.261816,9.376275,9.659775,13.915488,256.811859
